,State,Date,Count
760,OK,2015-01-16,1
761,OK,2015-01-17,1
762,OK,2015-01-29,1
763,OK,2015-02-06,1
764,OK,2015-02-20,1
765,OK,2015-02-25,2
766,OK,2015-03-01,1
767,OK,2015-03-08,2
768,OK,2015-03-20,2
769,OK,2015-04-02,2
770,OK,2015-04-03,1
771,OK,2015-04-07,1
772,OK,2015-04-08,1
773,OK,2015-04-09,1
774,OK,2015-04-11,2
775,OK,2015-04-12,1
776,OK,2015-04-23,1
777,OK,2015-04-24,2
778,OK,2015-04-26,1
779,OK,2015-04-29,1
780,OK,2015-05-27,2
781,OK,2015-05-29,1
782,OK,2015-06-27,1
783,OK,2015-07-04,1
784,OK,2015-07-06,1
785,OK,2015-07-20,1
786,OK,2015-07-22,1
787,OK,2015-08-09,2
788,OK,2015-08-30,2
789,OK,2015-09-13,1
790,OK,2015-10-05,1
791,OK,2015-10-12,1
792,OK,2015-10-30,1
793,OK,2015-11-05,1
794,OK,2015-11-21,2
795,OK,2015-12-09,2
796,OK,2015-12-12,1
797,OR,2015-01-02,1
798,OR,2015-02-15,2
799,OR,2015-03-17,1
800,OR,2015-03-22,2
801,OR,2015-03-30,2
802,OR,2015-04-24,1
803,OR,2015-05-29,1
804,OR,2015-05-30,1
805,OR,2015-05-31,2
806,OR,2015-06-28,2
807,OR,2015-07-01,3
808,OR,2015-07-08,1
809,OR,2015-10-02,2
810,OR,2015-10-28,3
811,OR,2015-11-02,1
812,OR,2015-11-06,2
813,PA,2015-01-06,1
814,PA,2015-02-02,1
815,PA,2015-02-13,1
816,PA,2015-02-23,1
817,PA,2015-04-09,1
818,PA,2015-05-19,1
819,PA,2015-05-20,1
820,PA,2015-05-22,2
821,PA,2015-06-04,1
822,PA,2015-06-22,2
823,PA,2015-07-22,1
824,PA,2015-08-03,1
825,PA,2015-08-09,1
826,PA,2015-08-25,1
827,PA,2015-09-04,1
828,PA,2015-09-11,1
829,PA,2015-10-17,2
830,PA,2015-10-26,1
831,PA,2015-11-07,1
832,PA,2015-11-15,2
833,PA,2015-12-04,2
834,PA,2015-12-12,2
835,PA,2015-12-21,1
836,SC,2015-02-28,2
837,SC,2015-03-25,2
838,SC,2015-04-04,2
839,SC,2015-04-09,2
840,SC,2015-04-15,2
841,SC,2015-04-21,1
842,SC,2015-05-20,1
843,SC,2015-05-21,3
844,SC,2015-05-28,1
845,SC,2015-06-13,1
846,SC,2015-07-23,1
847,SC,2015-07-26,1
848,SC,2015-07-27,1
849,SC,2015-08-08,1
850,SC,2015-10-11,1
851,SC,2015-11-05,1
852,SC,2015-11-09,2
853,SC,2015-11-11,2
854,SC,2015-11-17,2
855,SC,2015-12-10,2
856,SD,2015-09-04,2
857,SD,2015-09-16,2
858,SD,2015-09-29,2
859,TN,2015-02-04,1
860,TN,2015-02-10,1
861,TN,2015-02-13,1
862,TN,2015-03-11,1
863,TN,2015-03-31,2
864,TN,2015-04-29,1
865,TN,2015-04-30,1
866,TN,2015-05-30,1
867,TN,2015-06-11,2
868,TN,2015-07-04,1
869,TN,2015-07-16,2
870,TN,2015-07-17,1
871,TN,2015-07-28,1
872,TN,2015-08-05,2
873,TN,2015-08-26,2
874,TN,2015-09-12,1
875,TN,2015-09-18,1
876,TN,2015-10-29,2
877,TN,2015-11-13,1
878,TN,2015-12-12,1
879,TN,2015-12-14,2
880,TN,2015-12-18,1
881,TX,2015-01-07,2
882,TX,2015-01-09,2
883,TX,2015-01-13,1
884,TX,2015-01-14,1
885,TX,2015-01-16,3
886,TX,2015-01-17,2
887,TX,2015-01-21,1
888,TX,2015-01-22,3
889,TX,2015-01-23,2
890,TX,2015-01-24,1
891,TX,2015-01-26,1
892,TX,2015-01-28,3
893,TX,2015-01-29,1
894,TX,2015-01-31,2
895,TX,2015-02-01,1
896,TX,2015-02-03,1
897,TX,2015-02-04,1
898,TX,2015-02-08,3
899,TX,2015-02-09,3
900,TX,2015-02-14,1
901,TX,2015-02-17,2
902,TX,2015-02-20,3
903,TX,2015-02-25,1
904,TX,2015-03-01,1
905,TX,2015-03-06,1
906,TX,2015-03-14,1
907,TX,2015-03-17,2
908,TX,2015-03-31,1
909,TX,2015-04-08,2
910,TX,2015-04-13,1
911,TX,2015-04-14,1
912,TX,2015-04-15,2
913,TX,2015-04-19,1
914,TX,2015-04-20,2
915,TX,2015-04-22,2
916,TX,2015-04-25,1
917,TX,2015-04-29,1
918,TX,2015-04-30,1
919,TX,2015-05-03,3
920,TX,2015-05-11,2
921,TX,2015-05-17,9
922,TX,2015-05-21,1
923,TX,2015-05-25,2
924,TX,2015-05-31,2
925,TX,2015-06-01,1
926,TX,2015-06-02,1
927,TX,2015-06-03,3
928,TX,2015-06-06,2
929,TX,2015-06-08,1
930,TX,2015-06-09,2
931,TX,2015-06-11,2
932,TX,2015-06-13,2
933,TX,2015-06-15,1
934,TX,2015-06-21,2
935,TX,2015-06-23,2
936,TX,2015-06-26,1
937,TX,2015-07-05,4
938,TX,2015-07-07,3
939,TX,2015-07-12,2
940,TX,2015-07-17,1
941,TX,2015-07-20,3
942,TX,2015-07-30,1
943,TX,2015-07-31,1
944,TX,2015-08-02,2
945,TX,2015-08-06,1
946,TX,2015-08-07,1
947,TX,2015-08-08,1
948,TX,2015-08-11,2
949,TX,2015-08-12,1
950,TX,2015-08-14,2
